"Region 2018"	"Population"	"Population change from the previous year, %"	"Share of Swedish-speakers of the population, %"	"Share of foreign citizens of the population, %"	"Proportion of the unemployed among the labour force, %"	"Proportion of pensioners of the population, %"
"WHOLE COUNTRY"	5513130	0.2	5.2	4.5	13.5	25.3
"Akaa"	16769	-0.9	0.2	1.6	14.6	26.1
"Alajärvi"	9831	-0.7	0.1	1.9	13.9	32.0
"Alavieska"	2610	-1.1	0.2	0.6	10.8	28.4
"Alavus"	11713	-1.6	0.1	1.1	11.3	31.5
"Asikkala"	8248	-0.9	0.2	1.6	12.0	35.5
"Askola"	4990	-1.1	3.2	1.8	8.7	21.6
"Aura"	3991	0.2	0.6	2.2	9.6	21.8
"Brändö"	452	-4.0	72.6	8.4	5.8	34.2
"Eckerö"	948	2.2	89.7	11.5	5.1	26.7
"Enonkoski"	1416	-2.5	0.1	1.4	17.1	40.4
"Enontekiö"	1893	1.1	0.7	3.3	19.5	31.7
"Espoo"	279044	1.6	7.2	10.5	10.0	16.4
"Eura"	11910	-0.8	0.2	2.5	10.0	30.8
"Eurajoki"	9521	1.1	0.3	4.0	11.0	28.1
"Evijärvi"	2499	-1.4	2.0	2.5	8.4	31.6
"Finström"	2580	-0.5	89.8	10.5	3.0	22.1
"Forssa"	17185	-0.8	0.3	3.8	16.2	33.8
"Föglö"	532	-5.2	84.2	17.3	0.8	29.4
"Geta"	495	-0.8	86.9	13.5	3.6	24.0
"Haapajärvi"	7251	-1.1	0.1	1.3	12.2	28.4
"Haapavesi"	6970	-1.8	0.0	1.2	14.2	27.0
"Hailuoto"	967	-2.7	0.0	0.9	11.8	42.6
"Halsua"	1171	-3.9	0.8	2.6	8.7	36.2
"Hamina"	20493	-0.7	0.3	3.6	16.3	33.4
"Hammarland"	1547	2.6	89.7	11.6	3.4	22.5
"Hankasalmi"	5019	-2.7	0.2	1.0	16.7	35.1
"Hanko"	8517	-1.7	42.8	3.7	13.7	34.6
"Harjavalta"	7151	-1.2	0.2	2.7	13.9	35.0
"Hartola"	2882	-1.4	0.0	2.8	14.5	40.6
"Hattula"	9610	-0.7	0.4	1.2	9.6	24.8
"Hausjärvi"	8504	-1.6	0.4	2.2	8.9	24.0
"Heinola"	19128	-1.1	0.2	2.4	17.4	36.7
"Heinävesi"	3455	-1.7	0.2	1.9	17.2	43.7
"Helsinki"	643272	1.3	5.7	9.5	11.9	19.5
"Hirvensalmi"	2236	-1.7	0.4	1.8	16.3	39.7
"Hollola"	23782	0.0	0.3	1.7	12.0	26.5
"Honkajoki"	1707	-3.0	0.3	6.4	12.5	32.5
"Huittinen"	10207	-1.9	0.1	2.9	9.9	32.0
"Humppila"	2290	-2.3	0.3	1.8	13.2	31.2
"Hyrynsalmi"	2326	-3.3	0.2	0.7	18.6	45.5
"Hyvinkää"	46739	0.3	0.9	3.8	11.2	24.6
"Hämeenkyrö"	10599	-0.8	0.2	1.5	12.8	27.5
"Hämeenlinna"	67662	-0.3	0.3	3.7	13.6	28.6
"Ii"	9966	3.5	0.1	0.5	18.5	25.0
"Iisalmi"	21639	-0.6	0.0	2.1	15.1	29.7
"Iitti"	6820	-1.0	0.3	1.3	13.3	33.4
"Ikaalinen"	7119	-0.1	0.2	1.3	15.8	34.5
"Ilmajoki"	12205	0.3	0.2	0.6	10.2	24.8
"Ilomantsi"	5128	-2.1	0.1	1.7	22.1	44.9
"Imatra"	27269	-0.9	0.2	3.9	19.3	34.3
"Inari"	6869	0.6	0.3	2.0	13.6	30.6
"Inkoo"	5481	-1.9	52.9	3.3	8.0	26.3
"Isojoki"	2032	-2.3	1.0	3.4	10.5	37.4
"Isokyrö"	4673	-0.8	0.6	0.8	11.4	30.2
"Janakkala"	16607	-0.6	0.4	2.3	11.7	27.0
"Joensuu"	76067	0.3	0.1	3.1	18.6	25.0
"Jokioinen"	5286	-1.0	0.5	1.5	12.4	27.6
"Jomala"	4859	2.1	89.1	8.5	2.5	15.8
"Joroinen"	4917	-2.4	0.4	2.1	13.4	34.0
"Joutsa"	4567	-2.3	0.3	1.6	18.1	40.8
"Juuka"	4817	-2.5	0.1	1.0	21.2	42.0
"Juupajoki"	1904	-2.7	0.1	0.6	14.1	34.7
"Juva"	6334	-1.4	0.3	2.2	12.8	38.3
"Jyväskylä"	140188	1.0	0.2	3.3	16.6	21.1
"Jämijärvi"	1867	-2.5	0.2	1.7	12.0	34.9
"Jämsä"	20877	-1.8	0.2	1.3	18.2	34.0
"Järvenpää"	42572	2.5	1.0	3.4	10.4	20.6
"Kaarina"	33099	1.1	4.3	2.6	10.2	23.4
"Kaavi"	3048	-3.4	0.1	1.6	17.0	41.8
"Kajaani"	37239	-0.8	0.1	2.3	14.4	27.3
