Pos	LW	Title	Artist	Publisher	Peak Pos	WoC
1	1	I WANT TO HOLD YOUR HAND	THE BEATLES	PARLOPHONE	1	5
2	6	GLAD ALL OVER	THE DAVE CLARK FIVE	COLUMBIA	2	7
3	2	SHE LOVES YOU	THE BEATLES	PARLOPHONE	1	19
4	3	YOU WERE MADE FOR ME	FREDDIE AND THE DREAMERS	COLUMBIA	3	9
5	9	TWENTY FOUR HOURS FROM TULSA	GENE PITNEY	UNITED ARTISTS	5	5
6	5	I ONLY WANT TO BE WITH YOU	DUSTY SPRINGFIELD	PHILIPS	5	6
7	7	DOMINIQUE	THE SINGING NUN	PHILIPS	7	5
8	10	MARIA ELENA	LOS INDIOS TABAJARAS	RCA	5	9
9	4	SECRET LOVE	KATHY KIRBY	DECCA	4	9
10	8	DON'T TALK TO HIM	CLIFF RICHARD	COLUMBIA	2	9
11	15	SWINGING ON A STAR	BIG DEE IRWIN	COLPIX	11	5
12	11	GERONIMO	THE SHADOWS	COLUMBIA	11	5
13	23	HIPPY HIPPY SHAKE	SWINGING BLUE JEANS	HMV	13	3
14	16	KISS ME QUICK	ELVIS PRESLEY	RCA	14	3
15	14	I WANNA BE YOUR MAN	THE ROLLING STONES	DECCA	13	7
16	12	YOU'LL NEVER WALK ALONE	GERRY AND THE PACEMAKERS	COLUMBIA	1	13
17	17	STAY	THE HOLLIES	PARLOPHONE	17	6
18	18	NOT TOO LITTLE - NOT TOO MUCH	CHRIS SANDFORD	DECCA	17	4
19	19	MONEY	BERN ELLIOTT AND THE FENMEN	DECCA	14	6
20	27	WE ARE IN LOVE	ADAM FAITH	PARLOPHONE	20	3
21	13	I'LL KEEP YOU SATISFIED	BILLY J KRAMER AND THE DAKOTAS	PARLOPHONE	4	9
22	21	IF I RULED THE WORLD	HARRY SECOMBE	PHILIPS	18	7
23	26	BLUE BAYOU/MEAN WOMAN BLUES	ROY ORBISON	LONDON	3	15
24	20	ALL I WANT FOR CHRISTMAS IS A BEATLE	DORA BRYAN	FONTANA	20	5
25	25	I (WHO HAVE NOTHING)	SHIRLEY BASSEY	COLUMBIA	6	14
26	32	AT THE PALACE (PARTS 1 AND 2)	WILFRED BRAMBELL AND HARRY H CORBETT	PYE	26	5
27	28	COUNTRY BOY	HEINZ	DECCA	26	5
28	29	WHAT TO DO {1963}	BUDDY HOLLY	CORAL	28	3
29	36	FROM RUSSIA WITH LOVE	MATT MONRO	PARLOPHONE	20	7
30	22	IT'S ALMOST TOMORROW	MARK WYNTER	PYE	12	8
31	24	HUNGRY FOR LOVE	JOHNNY KIDD AND THE PIRATES	HMV	20	6
32	New	I'M IN LOVE	FOURMOST	PARLOPHONE	32	1
33	34	I CAN DANCE	BRIAN POOLE AND THE TREMELOES	DECCA	31	5
34	33	DEEP PURPLE	NINO TEMPO AND APRIL STEVENS	LONDON	17	8
35	31	BLOWING IN THE WIND	PETER, PAUL AND MARY	WARNER BROTHERS	13	11
36	Re	RUN RUDOLF RUN	CHUCK BERRY	PYE INTERNATIONAL	36	2
37	New	DO YOU REALLY LOVE ME TOO?	BILLY FURY	DECCA	37	1
38	30	SUGAR AND SPICE	THE SEARCHERS	PYE	2	11
39	37	YESTERDAY'S GONE	CHAD STUART AND JEREMY CLYDE	EMBER	37	4
40	Re	WALKING ALONE	RICHARD ANTHONY	COLUMBIA	37	2
