Päivämäärä;Auroransilta;Eteläesplanadi;Huopalahti (asema);Kaisaniemi/Eläintarhanlahti;Kaivokatu;Kulosaaren silta et.;Kulosaaren silta po. ;Kuusisaarentie;Käpylä, Pohjoisbaana;Lauttasaaren silta eteläpuoli;Merikannontie;Munkkiniemen silta eteläpuoli;Munkkiniemi silta pohjoispuoli;Heperian puisto/Ooppera;Pitkäsilta itäpuoli;Pitkäsilta länsipuoli;Lauttasaaren silta pohjoispuoli;Ratapihantie;Viikintie;Baana;
ke 1 tammi 2014 00:00;;7;;1;;;;;;;;2;5;3;;11;;;;8;
ke 1 tammi 2014 01:00;;5;;3;;;;;;;;6;5;1;;8;;;;4;
ke 1 tammi 2014 02:00;;2;;3;;;;;;;;1;1;1;;14;;;;11;
ke 1 tammi 2014 03:00;;5;;2;;;;;;;;0;2;0;;7;;;;3;
ke 1 tammi 2014 04:00;;1;;4;;;;;;;;1;1;1;;9;;;;4;
ke 1 tammi 2014 05:00;;1;;2;;;;;;;;0;1;1;;7;;;;2;
ke 1 tammi 2014 06:00;;1;;3;;;;;;;;6;2;2;;0;;;;3;
ke 1 tammi 2014 07:00;;3;;1;;;;;;;;5;7;3;;3;;;;5;
ke 1 tammi 2014 08:00;;3;;2;;;;;;;;1;1;0;;2;;;;9;
ke 1 tammi 2014 09:00;;0;;2;;;;;;;;1;6;0;;4;;;;8;
ke 1 tammi 2014 10:00;;6;;5;;;;;;;;1;10;4;;2;;;;7;
ke 1 tammi 2014 11:00;;4;;5;;;;;;;;7;8;10;;9;;;;10;
ke 1 tammi 2014 12:00;;11;;6;;;;;;;;10;18;7;;9;;;;22;
ke 1 tammi 2014 13:00;;11;;9;;;;;;;;10;18;14;;10;;;;25;
ke 1 tammi 2014 14:00;;8;;10;;;;;;;;21;18;26;;15;;;;32;
ke 1 tammi 2014 15:00;;11;;19;;;;;;;;14;26;14;;17;;;;32;
ke 1 tammi 2014 16:00;;10;;8;;;;;;;;10;5;1;;14;;;;23;
ke 1 tammi 2014 17:00;;8;;5;;;;;;;;6;17;0;;10;;;;18;
ke 1 tammi 2014 18:00;;17;;11;;;;;;;;3;14;2;;7;;;;22;
ke 1 tammi 2014 19:00;;2;;5;;;;;;;;5;17;2;;7;;;;15;
ke 1 tammi 2014 20:00;;4;;3;;;;;;;;8;3;1;;5;;;;9;
ke 1 tammi 2014 21:00;;6;;2;;;;;;;;3;7;1;;5;;;;9;
ke 1 tammi 2014 22:00;;3;;2;;;;;;;;2;2;2;;3;;;;6;
ke 1 tammi 2014 23:00;;0;;0;;;;;;;;0;1;0;;4;;;;2;
to 2 tammi 2014 00:00;;1;;1;;;;;;;;2;0;0;;7;;;;5;
to 2 tammi 2014 01:00;;0;;1;;;;;;;;0;1;0;;1;;;;2;
to 2 tammi 2014 02:00;;0;;0;;;;;;;;0;2;0;;0;;;;0;
to 2 tammi 2014 03:00;;1;;0;;;;;;;;0;2;0;;1;;;;0;
to 2 tammi 2014 04:00;;2;;0;;;;;;;;0;3;0;;3;;;;2;
to 2 tammi 2014 05:00;;3;;0;;;;;;;;0;2;0;;3;;;;7;
to 2 tammi 2014 06:00;;14;;11;;;;;;;;6;18;2;;5;;;;30;
to 2 tammi 2014 07:00;;26;;41;;;;;;;;52;52;8;;4;;;;62;
to 2 tammi 2014 08:00;;53;;60;;;;;;;;47;46;12;;17;;;;107;
to 2 tammi 2014 09:00;;37;;42;;;;;;;;19;19;29;;15;;;;71;
to 2 tammi 2014 10:00;;27;;23;;;;;;;;13;15;26;;21;;;;34;
to 2 tammi 2014 11:00;;25;;23;;;;;;;;15;7;29;;38;;;;31;
to 2 tammi 2014 12:00;;26;;21;;;;;;;;11;12;24;;21;;;;37;
to 2 tammi 2014 13:00;;18;;23;;;;;;;;14;14;25;;24;;;;42;
to 2 tammi 2014 14:00;;41;;20;;;;;;;;10;18;24;;27;;;;39;
to 2 tammi 2014 15:00;;47;;49;;;;;;;;33;42;43;;28;;;;71;
to 2 tammi 2014 16:00;;63;;68;;;;;;;;46;33;14;;28;;;;105;
to 2 tammi 2014 17:00;;46;;45;;;;;;;;48;42;15;;33;;;;97;
to 2 tammi 2014 18:00;;38;;31;;;;;;;;30;17;15;;31;;;;66;
to 2 tammi 2014 19:00;;25;;21;;;;;;;;20;15;13;;21;;;;39;
to 2 tammi 2014 20:00;;20;;13;;;;;;;;13;7;6;;16;;;;38;
to 2 tammi 2014 21:00;;7;;4;;;;;;;;4;9;1;;15;;;;16;
to 2 tammi 2014 22:00;;3;;6;;;;;;;;4;0;3;;8;;;;14;
to 2 tammi 2014 23:00;;3;;1;;;;;;;;0;2;1;;4;;;;6;
pe 3 tammi 2014 00:00;;3;;0;;;;;;;;0;0;1;;2;;;;1;
pe 3 tammi 2014 01:00;;0;;1;;;;;;;;0;3;3;;5;;;;2;
pe 3 tammi 2014 02:00;;1;;0;;;;;;;;1;1;0;;1;;;;0;
pe 3 tammi 2014 03:00;;0;;0;;;;;;;;0;0;0;;0;;;;1;
pe 3 tammi 2014 04:00;;1;;0;;;;;;;;0;2;0;;0;;;;0;
pe 3 tammi 2014 05:00;;2;;1;;;;;;;;1;2;0;;3;;;;8;
pe 3 tammi 2014 06:00;;16;;8;;;;;;;;10;10;4;;5;;;;32;
pe 3 tammi 2014 07:00;;28;;37;;;;;;;;56;39;7;;5;;;;66;
pe 3 tammi 2014 08:00;;49;;60;;;;;;;;47;40;14;;12;;;;105;
pe 3 tammi 2014 09:00;;39;;22;;;;;;;;21;16;32;;12;;;;60;
pe 3 tammi 2014 10:00;;29;;34;;;;;;;;10;10;26;;20;;;;33;
pe 3 tammi 2014 11:00;;41;;28;;;;;;;;6;16;23;;23;;;;26;
