Year,m,d,Time,Time zone,Precipitation amount (mm),Snow depth (cm),Air temperature (degC)
2017,1,1,00:00,UTC,-1,-1,0.6
2017,1,2,00:00,UTC,4.4,-1,-3.9
2017,1,3,00:00,UTC,6.6,7,-6.5
2017,1,4,00:00,UTC,-1,13,-12.8
2017,1,5,00:00,UTC,-1,10,-17.8
2017,1,6,00:00,UTC,0.3,10,-17.8
2017,1,7,00:00,UTC,5.3,10,-3.8
2017,1,8,00:00,UTC,-1,12,-0.5
2017,1,9,00:00,UTC,1.1,12,0.5
2017,1,10,00:00,UTC,0.3,9,1.7
2017,1,11,00:00,UTC,-1,7,-1.6
2017,1,12,00:00,UTC,8,7,-2.8
2017,1,13,00:00,UTC,0.1,13,1.1
2017,1,14,00:00,UTC,0.1,8,0.8
2017,1,15,00:00,UTC,-1,8,-2.8
2017,1,16,00:00,UTC,-1,8,-4.2
2017,1,17,00:00,UTC,0.2,8,-3.5
2017,1,18,00:00,UTC,0.9,8,1.1
2017,1,19,00:00,UTC,-1,5,1.6
2017,1,20,00:00,UTC,0.3,5,-0.6
2017,1,21,00:00,UTC,0.4,5,-1.8
2017,1,22,00:00,UTC,0.2,5,1
2017,1,23,00:00,UTC,0.1,6,0.1
2017,1,24,00:00,UTC,-1,6,-2.2
2017,1,25,00:00,UTC,0.6,6,-3.8
2017,1,26,00:00,UTC,-1,6,1.9
2017,1,27,00:00,UTC,-1,4,1.6
2017,1,28,00:00,UTC,1.8,4,0.8
2017,1,29,00:00,UTC,2.6,3,0.6
2017,1,30,00:00,UTC,5.6,5,1
2017,1,31,00:00,UTC,-1,4,0.2
2017,2,1,00:00,UTC,1.5,4,-0.6
2017,2,2,00:00,UTC,0.2,5,-0.8
2017,2,3,00:00,UTC,-1,6,-0.2
2017,2,4,00:00,UTC,2.7,6,0.4
2017,2,5,00:00,UTC,-1,7,-2.5
2017,2,6,00:00,UTC,-1,7,-7.3
2017,2,7,00:00,UTC,-1,8,-12.1
2017,2,8,00:00,UTC,-1,8,-8.8
2017,2,9,00:00,UTC,-1,8,-10.1
2017,2,10,00:00,UTC,-1,8,-8.3
2017,2,11,00:00,UTC,-1,8,-5.4
2017,2,12,00:00,UTC,-1,8,-2.7
2017,2,13,00:00,UTC,-1,8,1.5
2017,2,14,00:00,UTC,-1,8,4.4
2017,2,15,00:00,UTC,-1,8,0
2017,2,16,00:00,UTC,0.9,8,0.5
2017,2,17,00:00,UTC,0.2,8,1.5
2017,2,18,00:00,UTC,1.5,5,1.9
2017,2,19,00:00,UTC,1.1,5,2.2
2017,2,20,00:00,UTC,2.8,3,0.4
2017,2,21,00:00,UTC,-1,7,-2.5
2017,2,22,00:00,UTC,12.2,6,-4.6
2017,2,23,00:00,UTC,0.3,15,-0.7
2017,2,24,00:00,UTC,-1,13,-5.3
2017,2,25,00:00,UTC,0.4,13,-5.6
2017,2,26,00:00,UTC,2.5,12,-2
2017,2,27,00:00,UTC,1,14,-2.3
2017,2,28,00:00,UTC,7.7,13,2.1
2017,3,1,00:00,UTC,6.9,9,1.5
2017,3,2,00:00,UTC,0.5,7,1.5
2017,3,3,00:00,UTC,2.1,6,0.9
2017,3,4,00:00,UTC,0.2,6,-1.8
2017,3,5,00:00,UTC,-1,6,-4.2
2017,3,6,00:00,UTC,-1,7,-4.2
2017,3,7,00:00,UTC,5.7,6,-2.9
2017,3,8,00:00,UTC,0.1,10,0.2
2017,3,9,00:00,UTC,0.9,9,1.2
2017,3,10,00:00,UTC,0.5,8,1.4
2017,3,11,00:00,UTC,-1,7,2.2
2017,3,12,00:00,UTC,-1,6,-0.9
2017,3,13,00:00,UTC,-1,6,0.6
2017,3,14,00:00,UTC,6,5,0.6
2017,3,15,00:00,UTC,-1,2,3.8
2017,3,16,00:00,UTC,1.8,,3.4
2017,3,17,00:00,UTC,4.3,-1,2
2017,3,18,00:00,UTC,-1,-1,1.6
2017,3,19,00:00,UTC,-1,-1,0.6
2017,3,20,00:00,UTC,1.1,-1,0.2
2017,3,21,00:00,UTC,6,0,1.6
2017,3,22,00:00,UTC,0.2,-1,2.3
2017,3,23,00:00,UTC,-1,-1,2.5
2017,3,24,00:00,UTC,0.6,-1,0.5
2017,3,25,00:00,UTC,0.8,-1,1.9
2017,3,26,00:00,UTC,0.1,-1,4.8
2017,3,27,00:00,UTC,-1,-1,6.6
